Track ID,Name,Artist,Album,Genre,2022-04-04 04:20:51,Play Count,Location
31426,Beautiful Ft. Colby O'Donis And Kardinal Offishall - 5B/5A - 5B/5A - 5B/5A,Akon,Freedom,R&B/ Hip Hop,2022-04-02 09:51:00,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Akon/Freedom/02%20Beautiful%20Ft.%20Colby%20O'Donis%20And%20Kardinal%20Offishall%20-%205B_5A%20-%205B_5A%20-%205B_5A.mp3
60140,Wild Ones (Radio Edit),Flo Rida f. Sia,,Club,2022-04-12 09:37:03,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Flo%20Rida%20f.%20Sia/Unknown%20Album/Wild%20Ones%20(Radio%20Edit).mp3
69686,On The Floor ,Jennifer Lopez ,On the Floor (feat. Pitbull) - Single,Club,2022-03-29 02:44:56,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jennifer%20Lopez/On%20the%20Floor%20(feat.%20Pitbull)%20-%20Single/On%20The%20Floor.mp3
69998,Domino (Radio Edit),Jessie J,,Pop,2022-04-05 07:44:43,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jessie%20J/Unknown%20Album/Domino%20(Radio%20Edit).mp3
70024,Wild (Radio Edit),Jessie J f. Big Sean & Dizzee Rascal,,Urban,2022-03-28 13:52:07,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jessie%20J%20f.%20Big%20Sean%20&%20Dizzee%20Rascal/Unknown%20Album/Wild%20(Radio%20Edit).mp3
75166,Last Friday Night (T.G.I.F.) (Radio Edit),Katy Perry,,Rock - Pop - AC,2022-04-16 20:27:14,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Katy%20Perry/Unknown%20Album/Last%20Friday%20Night%20(T.G.I.F.)%20(Radio%20Edit).mp3
82248,Can I (Radio Edit),Love Dollhouse,,Urban,2022-04-05 14:22:54,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Love%20Dollhouse/Unknown%20Album/Can%20I%20(Radio%20Edit).mp3
90306,Let Me Love You (Radio Edit),Ne-Yo,,Urban,2022-04-12 00:58:10,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ne-Yo/Unknown%20Album/Let%20Me%20Love%20You%20(Radio%20Edit).mp3
91092,Starships,Nicki Minaj ,Pink Friday: Roman Reloaded,Rap & Hip-Hop,2022-04-18 07:06:17,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Nicki%20Minaj/Pink%20Friday_%20Roman%20Reloaded/Starships.mp3
60134,Can't Believe It (Radio Edit),Flo Rida f. Pitbull,,Urban,2022-04-13 12:56:43,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Flo%20Rida%20f.%20Pitbull/Unknown%20Album/Can't%20Believe%20It%20(Radio%20Edit).mp3
91376,Right By My Side (Radio Edit),Nicki Minaj f. Chris Brown,,R&B/ Hip Hop,2022-04-09 01:54:36,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Nicki%20Minaj%20f.%20Chris%20Brown/Unknown%20Album/Right%20By%20My%20Side%20(Radio%20Edit).mp3
92420,Tonight Is The Night (Radio Edit),Outasight,,Pop,2022-04-09 09:14:23,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Outasight/Unknown%20Album/Tonight%20Is%20The%20Night%20(Radio%20Edit).mp3
94158,Don't Stop The Party (Radio Edit),Pitbull,,Urban,2022-03-28 10:51:02,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Pitbull/Unknown%20Album/Don't%20Stop%20The%20Party%20(Radio%20Edit).mp3
94226,Feel This Moment (Radio Edit),Pitbull f. Christina Aguilera,,Urban,2022-03-25 14:25:05,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Pitbull%20f.%20Christina%20Aguilera/Unknown%20Album/Feel%20This%20Moment%20(Radio%20Edit).mp3
97266,Young Hearts Run Free (Almighty Club Mix),Respect f. Hannah Jones,,,2022-03-24 15:48:31,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Respect%20f.%20Hannah%20Jones/Unknown%20Album/Young%20Hearts%20Run%20Free%20(Almighty%20Club%20Mix).mp3
99170,Blurred Lines (Quick Mix) (Clean),Robin Thicke f. Pharrell & T.I.,,Urban,2022-04-13 05:20:58,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Robin%20Thicke%20f.%20Pharrell%20&%20T.I_/Unknown%20Album/Blurred%20Lines%20(Quick%20Mix)%20(Clean).mp3
100392,Tight Skirt (Radio Edit),Samantha J,,Urban,2022-04-13 09:23:01,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Samantha%20J/Unknown%20Album/Tight%20Skirt%20(Radio%20Edit).mp3
105120,Dynamite,Taio Cruz,RokStarr,Club,2022-04-19 20:57:44,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Taio%20Cruz/RokStarr/03%20Dynamite.mp3
115504,DJ Got Us Fallin' In Love (Ft. Pitbull),Usher,Versus,Club,2022-04-18 18:40:19,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Usher/Versus/01%20DJ%20Got%20Us%20Fallin'%20In%20Love%20(Ft.%20Pitbull).mp3
91446,Super Bass - 1B,Nicki Minaj ft Ester Dean,Pink Friday,Rap & Hip-Hop,2022-03-29 22:01:26,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Nicki%20Minaj%20ft%20Ester%20Dean/Pink%20Friday/14%20Super%20Bass%20-%201B.mp3
60036,Club Can't Handle Me (feat. David Guetta),Flo Rida,Club Can't Handle Me (feat. David Guetta) - Single,Club,2022-04-08 11:34:51,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Flo%20Rida/Club%20Can't%20Handle%20Me%20(feat.%20David%20Guetta)%20-%20Single/01%20Club%20Can't%20Handle%20Me%20(feat.%20David%20Guetta).mp3
127940,That Power (Radio Edit),Will.I.Am f. Justin Bieber,,Urban,2022-03-24 15:06:09,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Will.I.Am%20f.%20Justin%20Bieber/Unknown%20Album/That%20Power%20(Radio%20Edit).mp3
45690,Turn Up The Music (Remix) (Radio Edit),Chris Brown f. Rihanna,,R&B,2022-04-04 20:55:06,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Chris%20Brown%20f.%20Rihanna/Unknown%20Album/Turn%20Up%20The%20Music%20(Remix)%20(Radio%20Edit).mp3
51960,Calling All Hearts (Quick Mix) (Clean),DJ Cassidy f. Jessie J & Robin Thicke,,Rock - Pop - AC,2022-04-04 21:21:58,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/DJ%20Cassidy%20f.%20Jessie%20J%20&%20Robin%20Thicke/Unknown%20Album/Calling%20All%20Hearts%20(Quick%20Mix)%20(Clean).mp3
57670,Finally Found You (Radio Edit),Enrique Iglesias f. Sammy Adams,,Rock - Pop - AC,2022-04-06 18:53:03,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Enrique%20Iglesias%20f.%20Sammy%20Adams/Unknown%20Album/Finally%20Found%20You%20(Radio%20Edit).mp3
57590,I LIke It (Radio Edit),Enrique Iglesias,,Rock - Pop - AC,2022-04-15 01:40:44,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Enrique%20Iglesias/Unknown%20Album/I%20LIke%20It%20(Radio%20Edit).mp3
53512,Danza Kuduro (Radio Edit) (Latin),Don Omar f. Lucenzo,,Latin,2022-03-30 07:28:25,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Don%20Omar%20f.%20Lucenzo/Unknown%20Album/Danza%20Kuduro%20(Radio%20Edit)%20(Latin).mp3
117670,Yeah 3X,Chris Brown,"Now That's What I Call Music, Vol. 78 Disc 1",2022-03-27 02:59:08,2014-08-26 01:59:59,0,"file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artiist/Now%20That's%20What%20I%20Call%20Music,%20Vol.%2078%20Disc%201/13%20Yeah%203X.mp3"
45376,Beautiful People (featuring Benny Benassi),Chris Brown,F.A.M.E.,R&B,2022-04-17 22:39:35,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Chris%20Brown/F.A.M.E_/13%20Beautiful%20People%20(featuring%20Benny%20Benassi).mp3
134774,Hideaway (Radio Edit),Kiesza,Dance ( Promo CD ),Dance,2022-04-07 03:34:49,5,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Kiesza/Dance%20(%20Promo%20CD%20)/01%20Hideaway%20(Radio%20Edit).mp3
136960,Break Free,Ariana Grande,My Everything,Pop,2022-03-28 18:33:51,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ariana%20Grande/My%20Everything/37%20Break%20Free.m4a
137010,Animals,Maroon 5,V,Pop,2022-04-08 15:15:30,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Maroon%205/V/62%20Animals.m4a
136912,Shake It Off,Taylor Swift,1989,Pop,2022-04-20 06:51:22,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Taylor%20Swift/1989/13%20Shake%20It%20Off.m4a
136942,Latch,Disclosure,Settle,Pop,2022-03-26 03:14:29,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Disclosure/Settle/29%20Latch.m4a
137150,Time Of Our Lives (Clean),Pitbull ft NeYo,,Mainstream,2022-03-29 06:49:08,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Pitbull%20ft%20NeYo/Unknown%20Album/01%20Time%20Of%20Our%20Lives%20(Clean).mp3
138218,Trap Queen (Instrumental),Fetty Wap,,Rap & Hip-Hop Videos,2022-03-21 19:15:14,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Fetty%20Wap/Unknown%20Album/Trap%20Queen%20(Instrumental).mp3
138220,Trap Queen (Radio Edit),Fetty Wap,,Rap & Hip-Hop Videos,2022-04-15 00:06:02,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Fetty%20Wap/Unknown%20Album/Trap%20Queen%20(Radio%20Edit).mp3
140042,Want To Want Me (Radio Edit),Jason Derulo,,Urban,2022-04-01 17:37:33,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jason%20Derulo/Unknown%20Album/Want%20To%20Want%20Me%20(Radio%20Edit).mp3
140074,Sugar (Remix) (Radio Edit),Maroon 5 f. Nicki Minaj,,Urban,2022-04-03 15:13:59,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Maroon%205%20f.%20Nicki%20Minaj/Unknown%20Album/Sugar%20(Remix)%20(Radio%20Edit).mp3
140040,Want To Want Me (Instrumental),Jason Derulo,,Urban,2022-03-28 17:25:02,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jason%20Derulo/Unknown%20Album/Want%20To%20Want%20Me%20(Instrumental).mp3
140172,Want To Want Me (Quick Mix) (Clean),Jason Derulo,,Urban,2022-04-13 18:00:11,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jason%20Derulo/Unknown%20Album/Want%20To%20Want%20Me%20(Quick%20Mix)%20(Clean).mp3
140312,Open Wide (Radio Edit),Calvin Harris feat. Big Sean,,Dance,2022-04-06 23:03:41,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Calvin%20Harris%20feat.%20Big%20Sean/Unknown%20Album/Open%20Wide%20(Radio%20Edit).mp3
140328,You're So Beautiful (Super Clean Radio Edit),Empire Cast f. Jussie Smollett & Yazz,,Urban,2022-03-28 10:59:40,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Empire%20Cast%20f.%20Jussie%20Smollett%20&%20Yazz/Unknown%20Album/You're%20So%20Beautiful%20(Super%20Clean%20Radio%20Edit).mp3
140360,Going Down For Real,Flo Rida ft. Sage The Gemini,,Rap & Hip-Hop,2022-04-08 19:31:58,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Flo%20Rida%20ft.%20Sage%20The%20Gemini/Unknown%20Album/Going%20Down%20For%20Real.mp3
140500,Levels - Avicii,Levels - Avicii,Levels - Avicii,Dance,2022-03-21 07:31:28,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Levels%20-%20Avicii/Levels%20-%20Avicii/Levels%20-%20Avicii.mp3
140482,Uptown Funk,Mark Ronson Feat. Bruno Mars,PrimeCuts HP201446,Rock - Pop -AC,2022-03-28 20:10:03,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mark%20Ronson%20Feat.%20Bruno%20Mars/PrimeCuts%20HP201446/Uptown%20Funk.mp3
140516,Lets Go,Calvin Harris ft Ne-Yo,TEGOS.RU,Dance,2022-03-27 06:18:29,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Calvin%20Harris%20ft%20Ne-Yo/TEGOS.RU/Lets%20Go.mp3
140650,Love Me Like You Do (Quick Mix) (Clean),Ellie Goulding,,Rock - Pop - AC,2022-04-15 06:40:57,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ellie%20Goulding/Unknown%20Album/Love%20Me%20Like%20You%20Do%20(Quick%20Mix)%20(Clean).mp3
140598,Doing It (Quick Mix) (Clean),Charli XCX f. Rita Ora,,Rock - Pop - AC,2022-04-20 00:23:34,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Charli%20XCX%20f.%20Rita%20Ora/Unknown%20Album/Doing%20It%20(Quick%20Mix)%20(Clean).mp3
140994,How Will I Know 2015 (Oliver Nelson Remix) (Clean),Whitney Houston,,Rock - Pop - AC,2022-03-25 09:24:28,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Whitney%20Houston/Unknown%20Album/How%20Will%20I%20Know%202015%20(Oliver%20Nelson%20Remix)%20(Clean).mp3
140972,Nobody Love (Radio Edit),Tori Kelly,,Rock - Pop - AC,2022-04-10 11:49:42,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Tori%20Kelly/Unknown%20Album/Nobody%20Love%20(Radio%20Edit).mp3
141058,Tonight Belongs To U (Radio Edit),Jeremih f. Flo Rida,,Urban,2022-04-15 05:27:24,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jeremih%20f.%20Flo%20Rida/Unknown%20Album/Tonight%20Belongs%20To%20U%20(Radio%20Edit).mp3
141510,Coming With You (Extended) (Clean),Ne-Yo,,Urban,2022-04-10 07:33:45,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ne-Yo/Unknown%20Album/Coming%20With%20You%20(Extended)%20(Clean).mp3
141794,Mr. Put It Down (Quick Mix) (Clean),Ricky Martin f. Pitbull,,Dance,2022-04-06 07:06:32,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ricky%20Martin%20f.%20Pitbull/Unknown%20Album/Mr.%20Put%20It%20Down%20(Quick%20Mix)%20(Clean).mp3
333451,Hey Mama (feat. Nicki Minaj & Afrojack),David Guetta,Listen,Dance,2022-04-17 13:34:07,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/David%20Guetta/Listen/10%20Hey%20Mama%20(feat.%20Nicki%20Minaj%20&%20Afrojack).mp3
333460,Hey Mama (Afrojack Remix),David Guetta feat. Nicki Minaj & Afrojack,,Dance,2022-03-22 22:36:01,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/David%20Guetta%20feat.%20Nicki%20Minaj%20&%20Afrojack/Unknown%20Album/Hey%20Mama%20(Afrojack%20Remix).mp3
333523,Dear Future Husband (Radio Edit),Meghan Trainor,,Rock - Pop - AC,2022-03-23 07:48:15,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Meghan%20Trainor/Unknown%20Album/Dear%20Future%20Husband%20(Radio%20Edit).mp3
333511,Lean On,Major Lazer x DJ Snake feat. Mo,Lean On,Rock - Pop - AC,2022-03-26 08:37:40,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artists/Lean%20On/100%20Lean%20On.mp3
333473,Make It Rain (Extended) (Clean),Ed Sheeran,,Rock - Pop - AC,2022-04-17 00:23:01,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ed%20Sheeran/Unknown%20Album/Make%20It%20Rain%20(Extended)%20(Clean).mp3
333478,Thinking Out Loud (DJ Mike D Remix) (Clean),Ed Sheeran,,Rock - Pop - AC,2022-03-23 21:20:37,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ed%20Sheeran/Unknown%20Album/Thinking%20Out%20Loud%20(DJ%20Mike%20D%20Remix)%20(Clean).mp3
333563,I Need Your Love,Shaggy Ft Mohombi ,,Rock - Pop - AC,2022-03-31 13:45:15,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Shaggy%20Ft%20Mohombi/Unknown%20Album/I%20Need%20Your%20Love.mp3
333481,Thinking Out Loud (Radio Edit),Ed Sheeran,,Rock - Pop - AC,2022-04-03 08:24:21,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ed%20Sheeran/Unknown%20Album/Thinking%20Out%20Loud%20(Radio%20Edit).mp3
333490,Love Me Like You Do (Radio Edit),Ellie Goulding,,Rock - Pop - AC,2022-04-09 17:49:16,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ellie%20Goulding/Unknown%20Album/Love%20Me%20Like%20You%20Do%20(Radio%20Edit).mp3
333502,Worth It,Fifth Harmony,,Rock - Pop - AC,2022-04-08 23:19:54,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Fifth%20Harmony/Unknown%20Album/Worth%20It.mp3
333457,BO$$ ,Fifth Harmony,Billboard Hot 100,Rock - Pop - AC,2022-03-30 12:20:49,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artists/Billboard%20Hot%20100/64%20BO$$.mp3
333539,Cheerleader (Radio Edit),OMI,,Rock - Pop - AC,2022-04-06 23:51:12,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/OMI/Unknown%20Album/Cheerleader%20(Radio%20Edit).mp3
333520,Dear Future Husband (Quick Mix) (Clean),Meghan Trainor,,Rock - Pop - AC,2022-04-14 05:14:13,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Meghan%20Trainor/Unknown%20Album/Dear%20Future%20Husband%20(Quick%20Mix)%20(Clean).mp3